;274768;
мм;74056;
мс;33846;
ст;27212;
мм рт;24093;
%;22033;
мл;19453;
dPmax;12258;
степени;11758;
ЗАКЛЮЧЕНИЕ;9757;
регургитация;8094;
Левый желудочек;8020;
Левое предсердие;7464;
Митральный клапан;7406;
ЧСС ритм синусовый;7400;
регургитация приклапанная;7358;
Трикуспидальный клапан;7341;
Аортальный клапан;7295;
ФВ Симпсон;7249;
Аорта;7149;
индекс объёма;7058;
КДО;6924;
МЖП;6825;
КДР;6728;
ЗС;6601;
МПП не изменена;6585;
Правый желудочек;6527;
Пульмональный клапан;6325;
КСО;6262;
Правое предсердие;6234;
регургитация отсутствует;6226;
Легочная артерия;6136;
Va;5860;
Vmax;5686;
УО;5665;
Ve\Va;5451;
створки не изменены Vmax;5310;
КСР;5305;
парастернальная позиция;5242;
расчётное систолическое давление;5082;
камерная;4997;
Нижняя полая вена;4972;
ЧСС;4919;
удв мин;4909;
кинетика нарушена;4802;
ФВ Тейхольц;4724;
ФУ;4568;
см;4540;
млм кв;4457;
г;4323;
спадение на вдохе;4203;
ритм синусовый;4110;
ММ;3925;
Tdec;3467;
передняя стенка;3426;
ИММ;3344;
м;3322;
гкв;3314;
стенки уплотнены восходящая аорта;3032;
EEm;2972;
степени dPtr;2968;
кинетика не изменена;2612;
стенки ее уплотнены;2594;
Митральная регургитация;2271;
Трикуспидальный клапан не изменен;2053;
створки умеренно уплотнены Vmax;2045;
створки умеренно уплотнены Ve;1978;
стенки уплотнены;1934;
Кровоток не ускорен;1898;
створки не изменены Ve;1735;
Перикард без особенностей;1705;
Правые камеры не расширены;1628;
Легочная артерия не расширена;1622;
Трикуспидальная регургитация;1542;
Уплотнены створки митрального клапана;1454;
регургитация приклапанная dPtr;1448;
створки легко уплотнены Ve;1444;
Аорта не расширена;1416;
створки легко уплотнены Vmax;1334;
Левый желудочек не расширен;1287;
dPmean;1285;
утолщены;1248;
Трикуспидальная регургитация приклапанная;1199;
Уплотнены полулуния аортального клапана;1135;
стенки не изменены;1085;
створки не изменены регургитация отсутствует;1085;
створки фрагментарно кальцинированы Vmax;1060;
Приклапанная пульмональная регургитация;1054;
Митральная регургитация приклапанная;1016;
стенки не изменены восходящая аорта;1004;
створки не изменены регургитация;1004;
Стенки аорты уплотнены;1001;
Аорта не расширена в восходящем отделе;980;
Диастолическая дисфункция ЛЖ;965;
мм ртст;958;
утолщены восходящая аорта;881;
Расчетное систолическое давление в легочной артерии не повышено;873;
*;862;
mmHg;851;
Уплотнены;825;
Количество жидкости в полости перикарда не превышает физиологическое;777;
Легочная гипертензия;745;
трикуспидальная регургитация;743;
Количество жидкости в полости перикарда не увеличено;737;
не визуализируется;672;
Диастолическая дисфункция ЛЖ по типу нарушения релаксации;666;
Скорость кровотока в ВТЛЖ и на уровне АоК не увеличена;638;
